id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w
24_61,12.1159,-1.6784,1.394,0.0,0.0,-0.9914909231354582,0.1301758400779386
24_62,10.9708,-1.7142,1.312,0.0,0.0,-0.9984743098008503,0.05521822767633553
24_63,9.8253,-1.5559,1.2726,0.0,0.0,-0.9996010990344494,0.02824257086599621
24_64,8.7089,-1.3607,1.2264,0.0,0.0,-0.9999495360834053,0.01004615780199551
24_65,7.481,-1.1362,1.1303,0.0,0.0,0.999975174742066,0.0070462684858400865
24_66,6.2141,-0.7949,1.0682,0.0,0.0,0.999704858771338,0.024293936465281194
24_67,5.2122,-0.527,1.0342,0.0,0.0,0.9993485983289347,0.03608848871861175
24_68,4.242,-0.2501,0.9562,0.0,0.0,0.9990102017774128,0.044481645030875525
24_69,3.2563,0.153,0.9253,0.0,0.0,0.9985880663586972,0.053121311410751236
24_70,2.3027,0.469,0.8345,0.0,0.0,0.997997456227874,0.0632540699298702
24_71,1.3117,0.7697,0.7847,0.0,0.0,0.9973369509490264,0.07293151768405215
24_72,0.3038,1.1628,0.7166,0.0,0.0,0.9958626902952513,0.09087079881845686
24_73,-0.6416,1.568,0.6721,0.0,0.0,0.9936621086789069,0.11240824603109917
24_74,-1.5375,2.0244,0.5752,0.0,0.0,0.9903901594711891,0.13830159804800735
24_75,-2.6953,2.6367,0.5169,0.0,0.0,0.9845438258894595,0.17513838786212926
24_76,-3.707,3.3719,0.4156,0.0,0.0,0.9750841364104703,0.22183535994211395
24_77,-4.6875,4.0777,0.3358,0.0,0.0,0.9608350642060727,0.2771208750565576
24_78,-5.5994,4.913,0.2576,0.0,0.0,0.9396821968081732,0.3420487816112865
24_79,-6.402,5.8593,0.1905,0.0,0.0,0.9120271845867954,0.41012975333994417
24_80,-6.9396,6.9093,0.1255,0.0,0.0,0.8755871689291165,0.48306015112684975
24_81,-7.3225,8.0907,0.0885,0.0,0.0,0.8277580008340096,0.5610852805548224
24_82,-7.349,9.2191,0.0059,0.0,0.0,0.7523024761313927,0.6588178689186984
24_83,-7.5661,10.2989,-0.0579,0.0,0.0,0.6821507751882283,0.731211542517006
24_84,-7.2208,11.5004,-0.0761,0.0,0.0,0.6098727396588741,0.7924993636722866
24_85,-6.7093,12.4839,-0.1,0.0,0.0,0.5324141589919663,0.8464840006195493
24_86,-5.8919,13.4007,-0.0499,0.0,0.0,0.43487548722631736,0.90049059440378
24_87,-4.9577,14.1596,0.0109,0.0,0.0,0.34224016260019957,0.9396125111466902
25_0,1.3549,10.8159,0.3129,0.0,0.0,-0.9022244719361492,0.43126674140204313
25_1,0.6673,9.8075,0.2927,0.0,0.0,-0.8540126273315445,0.5202522776098848
25_2,0.0982,8.8679,0.2952,0.0,0.0,-0.792257592529521,0.6101867804855555
25_3,-0.1674,7.7939,0.2971,0.0,0.0,-0.6915625016024296,0.72231662474111
25_4,-0.016,6.7165,0.3308,0.0,0.0,-0.6049077393445691,0.7962955650266067
25_5,0.4703,5.6266,0.3591,0.0,0.0,-0.5074733758447902,0.8616674374772975
25_6,1.0478,4.6374,0.44,0.0,0.0,-0.4097226503328212,0.9122101456376424
25_7,1.7823,3.662,0.5316,0.0,0.0,-0.3159900593219822,0.9487625005288153
25_8,2.8056,2.9294,0.618,0.0,0.0,-0.2316271609937659,0.972804635212008
25_9,3.752,2.5905,0.639,0.0,0.0,-0.1709561266141135,0.985278642198794
25_10,4.8491,2.3299,0.6923,0.0,0.0,-0.11593867923113746,0.9932563730770316
25_11,5.9542,2.1258,0.7686,0.0,0.0,-0.0700924792001526,0.9975404976037695
25_12,7.1193,1.9555,0.845,0.0,0.0,-0.03599222450386925,0.9993520699809768
25_13,8.329,1.8898,0.8918,0.0,0.0,-0.014949443112494158,0.9998882508313748
25_14,9.5629,1.8863,0.9811,0.0,0.0,-0.004799981568021233,0.9999884800221184
25_15,10.8273,1.9032,1.0635,0.0,0.0,0.002749996533855477,0.999996218752383
25_16,12.0401,1.9231,1.134,0.0,0.0,0.007699923911392232,0.9999703551464707
25_17,13.2311,1.9756,1.2247,0.0,0.0,0.012949638045139216,0.9999161499218321
25_18,14.454,2.0982,1.2894,0.0,0.0,0.024547534016584723,0.9996986638851253
25_19,15.667,2.1955,1.358,0.0,0.0,0.04368609241919149,0.9990453069451565
26_0,-4.0411,14.8012,0.0609,0.0,0.0,0.28504176452409563,0.9585150976781691
26_1,-2.9346,15.217,0.1191,0.0,0.0,0.2535031574171069,0.9673345590743451
26_2,-1.8694,15.522,0.1615,0.0,0.0,0.23357230571294973,0.9723394355902348
26_3,-0.6498,15.8387,0.2083,0.0,0.0,0.2145196460823314,0.9767196739314261
26_4,0.5285,16.1056,0.3107,0.0,0.0,0.20772631809948017,0.9781869845631936
26_5,1.5222,16.3474,0.385,0.0,0.0,0.20390981877387518,0.9789896760475084
26_6,2.8081,16.5599,0.4622,0.0,0.0,0.19768916504590728,0.9802647571056771
26_7,3.8576,16.7225,0.5157,0.0,0.0,0.193913689932429,0.9810185935326556
26_8,4.9643,16.9175,0.5865,0.0,0.0,0.18915348774396654,0.981947533259437
26_9,6.0978,17.0766,0.6409,0.0,0.0,0.18433969330208616,0.9828625933838834
26_10,7.1956,17.2554,0.7457,0.0,0.0,0.17883280110798688,0.9838794790256941
26_11,8.3113,17.4225,0.8314,0.0,0.0,0.1665699584504029,0.9860296389773642
26_12,9.461,17.6151,0.9268,0.0,0.0,0.1480537069673408,0.9889793222576642
26_13,10.5559,17.7027,1.0071,0.0,0.0,0.12685726477957943,0.9919209819197513
26_14,11.71,17.7228,1.0841,0.0,0.0,0.10062938794745194,0.9949239801519115
26_15,12.8574,17.6873,1.1842,0.0,0.0,0.07542829229481046,0.9971512286115325
26_16,13.9516,17.5774,1.2337,0.0,0.0,0.049030334112921924,0.9987972899126105
26_17,15.0587,17.4689,1.345,0.0,0.0,0.022348139325160554,0.9997502491466073
26_18,16.1904,17.3516,1.4059,0.0,0.0,-0.0091998702192159,0.9999576802984962
26_19,17.3026,17.1353,1.5018,0.0,0.0,-0.043636140099257426,0.9990474900009698
26_20,18.3513,16.7107,1.6129,0.0,0.0,-0.08031340824788576,0.9967696606817487
26_21,19.3815,16.337,1.6702,0.0,0.0,-0.11807391082485859,0.993004809445817
26_22,20.3168,15.8619,1.7491,0.0,0.0,-0.15907139481727903,0.9872670820760132
26_23,21.2221,15.2725,1.8146,0.0,0.0,-0.2013637592691386,0.9795165319957598
26_24,22.0224,14.652,1.9175,0.0,0.0,-0.24420520695283995,0.969723577571011
26_25,22.8938,14.0604,1.9922,0.0,0.0,-0.28959147849574957,0.9571503411599694
26_26,23.7838,13.1692,2.0561,0.0,0.0,-0.3371142170833086,0.9414637564135477
26_27,24.4804,12.3059,2.135,0.0,0.0,-0.38268428076468186,0.923879181092213
26_28,25.0092,11.3877,2.1689,0.0,0.0,-0.4271152819780984,0.9041971775562947
26_29,25.4503,10.4042,2.1979,0.0,0.0,-0.4751196457666295,0.8799212022713128
26_30,25.7804,9.381,2.2063,0.0,0.0,-0.526135657123346,0.8504006528121818
26_31,25.9795,8.3003,2.2008,0.0,0.0,-0.5798544263755739,0.814720101760509
26_32,26.2345,7.1564,2.2319,0.0,0.0,-0.6364986191255626,0.7712778408921469
26_33,26.2584,6.0052,2.2445,0.0,0.0,-0.6867438401959113,0.7268995102164897
26_34,26.0424,4.8994,2.235,0.0,0.0,-0.7330531805215021,0.6801713273340108
26_35,25.7127,3.7629,2.1926,0.0,0.0,-0.7780464023201213,0.6282068097662711
26_36,25.1687,2.71,2.1622,0.0,0.0,-0.8177552098570406,0.5755661706108754
26_37,24.5177,1.8254,2.1383,0.0,0.0,-0.8545843880439187,0.5193125491566722
26_38,23.769,1.0193,2.0928,0.0,0.0,-0.8857697997689405,0.4641248343035428
26_39,23.031,0.2107,2.0798,0.0,0.0,-0.9143095986524112,0.4050159969829176
26_40,22.0761,-0.5116,2.0334,0.0,0.0,-0.9357218652694433,0.35273870053720174
26_41,21.015,-1.1003,1.9455,0.0,0.0,-0.9523651911743372,0.3049599033306974
26_42,19.9966,-1.5408,1.8795,0.0,0.0,-0.9638385279742373,0.2664869452570901
26_43,18.9123,-1.8581,1.8003,0.0,0.0,-0.9724336432465903,0.23317977931665307
26_44,17.8345,-2.0863,1.7064,0.0,0.0,-0.9788372200497268,0.20464040814395024
26_45,16.6639,-2.3053,1.6603,0.0,0.0,-0.9843064919722383,0.17646736202852384
26_46,15.3903,-2.4965,1.5876,0.0,0.0,-0.9887790973353406,0.14938506174550675
26_47,14.2983,-2.5726,1.5282,0.0,0.0,-0.9919594593351512,0.1265560391111957
26_48,13.0948,-2.5622,1.454,0.0,0.0,-0.9947620751699596,0.10221748286646304
26_49,11.9226,-2.5337,1.4006,0.0,0.0,-0.9969598281940963,0.07791727001889842
26_50,10.7364,-2.4831,1.3665,0.0,0.0,-0.9985854090448928,0.053171240747646606
26_51,9.6512,-2.262,1.2651,0.0,0.0,-0.9994407237513945,0.033440091316990855
26_52,8.5161,-2.1334,1.2232,0.0,0.0,-0.9999510317576377,0.009896165259126323
26_53,7.3603,-1.9258,1.1221,0.0,0.0,0.9999395410077347,0.010996105185057769
26_54,6.2709,-1.6232,1.0971,0.0,0.0,0.9995118732473709,0.031241242573423172
26_55,5.1755,-1.3063,1.0095,0.0,0.0,0.9987529414985618,0.04992556307114048
26_56,4.2061,-0.9689,0.9587,0.0,0.0,0.9978394886732155,0.06569897141033433
26_57,3.1853,-0.5971,0.923,0.0,0.0,0.9965120351773901,0.0834491686394538
26_58,1.9994,-0.1126,0.8569,0.0,0.0,0.9943982217988651,0.10569851693971466
26_59,0.9922,0.3497,0.7551,0.0,0.0,0.992066673610109,0.1257128279539256
26_60,0.0565,0.816,0.7146,0.0,0.0,0.9890906254773221,0.14730829777334264
26_61,12.1159,-1.6784,1.394,0.0,0.0,-0.9914909231354582,0.1301758400779386
26_62,10.9708,-1.7142,1.312,0.0,0.0,-0.9984743098008503,0.05521822767633553
26_63,9.8253,-1.5559,1.2726,0.0,0.0,-0.9996010990344494,0.02824257086599621
26_64,8.7089,-1.3607,1.2264,0.0,0.0,-0.9999495360834053,0.01004615780199551
26_65,7.481,-1.1362,1.1303,0.0,0.0,0.999975174742066,0.0070462684858400865
26_66,6.2141,-0.7949,1.0682,0.0,0.0,0.999704858771338,0.024293936465281194
26_67,5.2122,-0.527,1.0342,0.0,0.0,0.9993485983289347,0.03608848871861175
26_68,4.242,-0.2501,0.9562,0.0,0.0,0.9990102017774128,0.044481645030875525
26_69,3.2563,0.153,0.9253,0.0,0.0,0.9985880663586972,0.053121311410751236
26_70,2.3027,0.469,0.8345,0.0,0.0,0.997997456227874,0.0632540699298702
26_71,1.3117,0.7697,0.7847,0.0,0.0,0.9973369509490264,0.07293151768405215
26_72,0.3038,1.1628,0.7166,0.0,0.0,0.9958626902952513,0.09087079881845686
26_73,-0.6416,1.568,0.6721,0.0,0.0,0.9936621086789069,0.11240824603109917
26_74,-1.5375,2.0244,0.5752,0.0,0.0,0.9903901594711891,0.13830159804800735
26_75,-2.6953,2.6367,0.5169,0.0,0.0,0.9845438258894595,0.17513838786212926
26_76,-3.707,3.3719,0.4156,0.0,0.0,0.9750841364104703,0.22183535994211395
26_77,-4.6875,4.0777,0.3358,0.0,0.0,0.9608350642060727,0.2771208750565576
26_78,-5.5994,4.913,0.2576,0.0,0.0,0.9396821968081732,0.3420487816112865
26_79,-6.402,5.8593,0.1905,0.0,0.0,0.9120271845867954,0.41012975333994417
26_80,-6.9396,6.9093,0.1255,0.0,0.0,0.8755871689291165,0.48306015112684975
26_81,-7.3225,8.0907,0.0885,0.0,0.0,0.8277580008340096,0.5610852805548224
26_82,-7.349,9.2191,0.0059,0.0,0.0,0.7523024761313927,0.6588178689186984
26_83,-7.5661,10.2989,-0.0579,0.0,0.0,0.6821507751882283,0.731211542517006
26_84,-7.2208,11.5004,-0.0761,0.0,0.0,0.6098727396588741,0.7924993636722866
26_85,-6.7093,12.4839,-0.1,0.0,0.0,0.5324141589919663,0.8464840006195493
26_86,-5.8919,13.4007,-0.0499,0.0,0.0,0.43487548722631736,0.90049059440378
26_87,-4.9577,14.1596,0.0109,0.0,0.0,0.34224016260019957,0.9396125111466902
27_0,1.3549,10.8159,0.3129,0.0,0.0,-0.9022244719361492,0.43126674140204313
27_1,0.6673,9.8075,0.2927,0.0,0.0,-0.8540126273315445,0.5202522776098848
27_2,0.0982,8.8679,0.2952,0.0,0.0,-0.792257592529521,0.6101867804855555
27_3,-0.1674,7.7939,0.2971,0.0,0.0,-0.6915625016024296,0.72231662474111
27_4,-0.016,6.7165,0.3308,0.0,0.0,-0.6049077393445691,0.7962955650266067
27_5,0.4703,5.6266,0.3591,0.0,0.0,-0.5074733758447902,0.8616674374772975
27_6,1.0478,4.6374,0.44,0.0,0.0,-0.4097226503328212,0.9122101456376424
27_7,1.7823,3.662,0.5316,0.0,0.0,-0.3159900593219822,0.9487625005288153
27_8,2.8056,2.9294,0.618,0.0,0.0,-0.2316271609937659,0.972804635212008
27_9,3.752,2.5905,0.639,0.0,0.0,-0.1709561266141135,0.985278642198794
27_10,4.8491,2.3299,0.6923,0.0,0.0,-0.11593867923113746,0.9932563730770316
27_11,5.9542,2.1258,0.7686,0.0,0.0,-0.0700924792001526,0.9975404976037695
27_12,7.1193,1.9555,0.845,0.0,0.0,-0.03599222450386925,0.9993520699809768
27_13,8.329,1.8898,0.8918,0.0,0.0,-0.014949443112494158,0.9998882508313748
27_14,9.5629,1.8863,0.9811,0.0,0.0,-0.004799981568021233,0.9999884800221184
27_15,10.8273,1.9032,1.0635,0.0,0.0,0.002749996533855477,0.999996218752383
27_16,12.0401,1.9231,1.134,0.0,0.0,0.007699923911392232,0.9999703551464707
27_17,13.2311,1.9756,1.2247,0.0,0.0,0.012949638045139216,0.9999161499218321
27_18,14.454,2.0982,1.2894,0.0,0.0,0.024547534016584723,0.9996986638851253
27_19,15.667,2.1955,1.358,0.0,0.0,0.04368609241919149,0.9990453069451565
28_0,-4.0411,14.8012,0.0609,0.0,0.0,0.28504176452409563,0.9585150976781691
28_1,-2.9346,15.217,0.1191,0.0,0.0,0.2535031574171069,0.9673345590743451
28_2,-1.8694,15.522,0.1615,0.0,0.0,0.23357230571294973,0.9723394355902348
28_3,-0.6498,15.8387,0.2083,0.0,0.0,0.2145196460823314,0.9767196739314261
28_4,0.5285,16.1056,0.3107,0.0,0.0,0.20772631809948017,0.9781869845631936
28_5,1.5222,16.3474,0.385,0.0,0.0,0.20390981877387518,0.9789896760475084
28_6,2.8081,16.5599,0.4622,0.0,0.0,0.19768916504590728,0.9802647571056771
28_7,3.8576,16.7225,0.5157,0.0,0.0,0.193913689932429,0.9810185935326556
28_8,4.9643,16.9175,0.5865,0.0,0.0,0.18915348774396654,0.981947533259437
28_9,6.0978,17.0766,0.6409,0.0,0.0,0.18433969330208616,0.9828625933838834
28_10,7.1956,17.2554,0.7457,0.0,0.0,0.17883280110798688,0.9838794790256941
28_11,8.3113,17.4225,0.8314,0.0,0.0,0.1665699584504029,0.9860296389773642
28_12,9.461,17.6151,0.9268,0.0,0.0,0.1480537069673408,0.9889793222576642
28_13,10.5559,17.7027,1.0071,0.0,0.0,0.12685726477957943,0.9919209819197513
28_14,11.71,17.7228,1.0841,0.0,0.0,0.10062938794745194,0.9949239801519115
28_15,12.8574,17.6873,1.1842,0.0,0.0,0.07542829229481046,0.9971512286115325
28_16,13.9516,17.5774,1.2337,0.0,0.0,0.049030334112921924,0.9987972899126105
28_17,15.0587,17.4689,1.345,0.0,0.0,0.022348139325160554,0.9997502491466073
28_18,16.1904,17.3516,1.4059,0.0,0.0,-0.0091998702192159,0.9999576802984962
28_19,17.3026,17.1353,1.5018,0.0,0.0,-0.043636140099257426,0.9990474900009698
28_20,18.3513,16.7107,1.6129,0.0,0.0,-0.08031340824788576,0.9967696606817487
28_21,19.3815,16.337,1.6702,0.0,0.0,-0.11807391082485859,0.993004809445817
28_22,20.3168,15.8619,1.7491,0.0,0.0,-0.15907139481727903,0.9872670820760132
28_23,21.2221,15.2725,1.8146,0.0,0.0,-0.2013637592691386,0.9795165319957598
28_24,22.0224,14.652,1.9175,0.0,0.0,-0.24420520695283995,0.969723577571011
28_25,22.8938,14.0604,1.9922,0.0,0.0,-0.28959147849574957,0.9571503411599694
28_26,23.7838,13.1692,2.0561,0.0,0.0,-0.3371142170833086,0.9414637564135477
28_27,24.4804,12.3059,2.135,0.0,0.0,-0.38268428076468186,0.923879181092213
28_28,25.0092,11.3877,2.1689,0.0,0.0,-0.4271152819780984,0.9041971775562947
28_29,25.4503,10.4042,2.1979,0.0,0.0,-0.4751196457666295,0.8799212022713128
28_30,25.7804,9.381,2.2063,0.0,0.0,-0.526135657123346,0.8504006528121818
28_31,25.9795,8.3003,2.2008,0.0,0.0,-0.5798544263755739,0.814720101760509
28_32,26.2345,7.1564,2.2319,0.0,0.0,-0.6364986191255626,0.7712778408921469
28_33,26.2584,6.0052,2.2445,0.0,0.0,-0.6867438401959113,0.7268995102164897
28_34,26.0424,4.8994,2.235,0.0,0.0,-0.7330531805215021,0.6801713273340108
28_35,25.7127,3.7629,2.1926,0.0,0.0,-0.7780464023201213,0.6282068097662711
28_36,25.1687,2.71,2.1622,0.0,0.0,-0.8177552098570406,0.5755661706108754
28_37,24.5177,1.8254,2.1383,0.0,0.0,-0.8545843880439187,0.5193125491566722
28_38,23.769,1.0193,2.0928,0.0,0.0,-0.8857697997689405,0.4641248343035428
28_39,23.031,0.2107,2.0798,0.0,0.0,-0.9143095986524112,0.4050159969829176
28_40,22.0761,-0.5116,2.0334,0.0,0.0,-0.9357218652694433,0.35273870053720174
28_41,21.015,-1.1003,1.9455,0.0,0.0,-0.9523651911743372,0.3049599033306974
28_42,19.9966,-1.5408,1.8795,0.0,0.0,-0.9638385279742373,0.2664869452570901
28_43,18.9123,-1.8581,1.8003,0.0,0.0,-0.9724336432465903,0.23317977931665307
28_44,17.8345,-2.0863,1.7064,0.0,0.0,-0.9788372200497268,0.20464040814395024
28_45,16.6639,-2.3053,1.6603,0.0,0.0,-0.9843064919722383,0.17646736202852384
28_46,15.3903,-2.4965,1.5876,0.0,0.0,-0.9887790973353406,0.14938506174550675
28_47,14.2983,-2.5726,1.5282,0.0,0.0,-0.9919594593351512,0.1265560391111957
28_48,13.0948,-2.5622,1.454,0.0,0.0,-0.9947620751699596,0.10221748286646304
28_49,11.9226,-2.5337,1.4006,0.0,0.0,-0.9969598281940963,0.07791727001889842
28_50,10.7364,-2.4831,1.3665,0.0,0.0,-0.9985854090448928,0.053171240747646606
28_51,9.6512,-2.262,1.2651,0.0,0.0,-0.9994407237513945,0.033440091316990855
28_52,8.5161,-2.1334,1.2232,0.0,0.0,-0.9999510317576377,0.009896165259126323
28_53,7.3603,-1.9258,1.1221,0.0,0.0,0.9999395410077347,0.010996105185057769
28_54,6.2709,-1.6232,1.0971,0.0,0.0,0.9995118732473709,0.031241242573423172
28_55,5.1755,-1.3063,1.0095,0.0,0.0,0.9987529414985618,0.04992556307114048
28_56,4.2061,-0.9689,0.9587,0.0,0.0,0.9978394886732155,0.06569897141033433
28_57,3.1853,-0.5971,0.923,0.0,0.0,0.9965120351773901,0.0834491686394538
28_58,1.9994,-0.1126,0.8569,0.0,0.0,0.9943982217988651,0.10569851693971466
28_59,0.9922,0.3497,0.7551,0.0,0.0,0.992066673610109,0.1257128279539256
28_60,0.0565,0.816,0.7146,0.0,0.0,0.9890906254773221,0.14730829777334264
28_61,12.1159,-1.6784,1.394,0.0,0.0,-0.9914909231354582,0.1301758400779386
28_62,10.9708,-1.7142,1.312,0.0,0.0,-0.9984743098008503,0.05521822767633553
28_63,9.8253,-1.5559,1.2726,0.0,0.0,-0.9996010990344494,0.02824257086599621
28_64,8.7089,-1.3607,1.2264,0.0,0.0,-0.9999495360834053,0.01004615780199551
28_65,7.481,-1.1362,1.1303,0.0,0.0,0.999975174742066,0.0070462684858400865
28_66,6.2141,-0.7949,1.0682,0.0,0.0,0.999704858771338,0.024293936465281194
28_67,5.2122,-0.527,1.0342,0.0,0.0,0.9993485983289347,0.03608848871861175
28_68,4.242,-0.2501,0.9562,0.0,0.0,0.9990102017774128,0.044481645030875525
28_69,3.2563,0.153,0.9253,0.0,0.0,0.9985880663586972,0.053121311410751236
28_70,2.3027,0.469,0.8345,0.0,0.0,0.997997456227874,0.0632540699298702
28_71,1.3117,0.7697,0.7847,0.0,0.0,0.9973369509490264,0.07293151768405215
28_72,0.3038,1.1628,0.7166,0.0,0.0,0.9958626902952513,0.09087079881845686
28_73,-0.6416,1.568,0.6721,0.0,0.0,0.9936621086789069,0.11240824603109917
28_74,-1.5375,2.0244,0.5752,0.0,0.0,0.9903901594711891,0.13830159804800735
28_75,-2.6953,2.6367,0.5169,0.0,0.0,0.9845438258894595,0.17513838786212926
28_76,-3.707,3.3719,0.4156,0.0,0.0,0.9750841364104703,0.22183535994211395
28_77,-4.6875,4.0777,0.3358,0.0,0.0,0.9608350642060727,0.2771208750565576
28_78,-5.5994,4.913,0.2576,0.0,0.0,0.9396821968081732,0.3420487816112865
28_79,-6.402,5.8593,0.1905,0.0,0.0,0.9120271845867954,0.41012975333994417
28_80,-6.9396,6.9093,0.1255,0.0,0.0,0.8755871689291165,0.48306015112684975
28_81,-7.3225,8.0907,0.0885,0.0,0.0,0.8277580008340096,0.5610852805548224
28_82,-7.349,9.2191,0.0059,0.0,0.0,0.7523024761313927,0.6588178689186984
28_83,-7.5661,10.2989,-0.0579,0.0,0.0,0.6821507751882283,0.731211542517006
28_84,-7.2208,11.5004,-0.0761,0.0,0.0,0.6098727396588741,0.7924993636722866
28_85,-6.7093,12.4839,-0.1,0.0,0.0,0.5324141589919663,0.8464840006195493
28_86,-5.8919,13.4007,-0.0499,0.0,0.0,0.43487548722631736,0.90049059440378
28_87,-4.9577,14.1596,0.0109,0.0,0.0,0.34224016260019957,0.9396125111466902
29_0,1.3549,10.8159,0.3129,0.0,0.0,-0.9022244719361492,0.43126674140204313
29_1,0.6673,9.8075,0.2927,0.0,0.0,-0.8540126273315445,0.5202522776098848
29_2,0.0982,8.8679,0.2952,0.0,0.0,-0.792257592529521,0.6101867804855555
29_3,-0.1674,7.7939,0.2971,0.0,0.0,-0.6915625016024296,0.72231662474111
29_4,-0.016,6.7165,0.3308,0.0,0.0,-0.6049077393445691,0.7962955650266067
29_5,0.4703,5.6266,0.3591,0.0,0.0,-0.5074733758447902,0.8616674374772975
29_6,1.0478,4.6374,0.44,0.0,0.0,-0.4097226503328212,0.9122101456376424
29_7,1.7823,3.662,0.5316,0.0,0.0,-0.3159900593219822,0.9487625005288153
29_8,2.8056,2.9294,0.618,0.0,0.0,-0.2316271609937659,0.972804635212008
29_9,3.752,2.5905,0.639,0.0,0.0,-0.1709561266141135,0.985278642198794
29_10,4.8491,2.3299,0.6923,0.0,0.0,-0.11593867923113746,0.9932563730770316
29_11,5.9542,2.1258,0.7686,0.0,0.0,-0.0700924792001526,0.9975404976037695
29_12,7.1193,1.9555,0.845,0.0,0.0,-0.03599222450386925,0.9993520699809768
29_13,8.329,1.8898,0.8918,0.0,0.0,-0.014949443112494158,0.9998882508313748
29_14,9.5629,1.8863,0.9811,0.0,0.0,-0.004799981568021233,0.9999884800221184
29_15,10.8273,1.9032,1.0635,0.0,0.0,0.002749996533855477,0.999996218752383
29_16,12.0401,1.9231,1.134,0.0,0.0,0.007699923911392232,0.9999703551464707
29_17,13.2311,1.9756,1.2247,0.0,0.0,0.012949638045139216,0.9999161499218321
29_18,14.454,2.0982,1.2894,0.0,0.0,0.024547534016584723,0.9996986638851253
29_19,15.667,2.1955,1.358,0.0,0.0,0.04368609241919149,0.9990453069451565
30_0,-4.0411,14.8012,0.0609,0.0,0.0,0.28504176452409563,0.9585150976781691
30_1,-2.9346,15.217,0.1191,0.0,0.0,0.2535031574171069,0.9673345590743451
30_2,-1.8694,15.522,0.1615,0.0,0.0,0.23357230571294973,0.9723394355902348
30_3,-0.6498,15.8387,0.2083,0.0,0.0,0.2145196460823314,0.9767196739314261
30_4,0.5285,16.1056,0.3107,0.0,0.0,0.20772631809948017,0.9781869845631936
30_5,1.5222,16.3474,0.385,0.0,0.0,0.20390981877387518,0.9789896760475084
30_6,2.8081,16.5599,0.4622,0.0,0.0,0.19768916504590728,0.9802647571056771
30_7,3.8576,16.7225,0.5157,0.0,0.0,0.193913689932429,0.9810185935326556
30_8,4.9643,16.9175,0.5865,0.0,0.0,0.18915348774396654,0.981947533259437
30_9,6.0978,17.0766,0.6409,0.0,0.0,0.18433969330208616,0.9828625933838834
30_10,7.1956,17.2554,0.7457,0.0,0.0,0.17883280110798688,0.9838794790256941
30_11,8.3113,17.4225,0.8314,0.0,0.0,0.1665699584504029,0.9860296389773642
30_12,9.461,17.6151,0.9268,0.0,0.0,0.1480537069673408,0.9889793222576642
30_13,10.5559,17.7027,1.0071,0.0,0.0,0.12685726477957943,0.9919209819197513
30_14,11.71,17.7228,1.0841,0.0,0.0,0.10062938794745194,0.9949239801519115
30_15,12.8574,17.6873,1.1842,0.0,0.0,0.07542829229481046,0.9971512286115325
30_16,13.9516,17.5774,1.2337,0.0,0.0,0.049030334112921924,0.9987972899126105
30_17,15.0587,17.4689,1.345,0.0,0.0,0.022348139325160554,0.9997502491466073
30_18,16.1904,17.3516,1.4059,0.0,0.0,-0.0091998702192159,0.9999576802984962
30_19,17.3026,17.1353,1.5018,0.0,0.0,-0.043636140099257426,0.9990474900009698
30_20,18.3513,16.7107,1.6129,0.0,0.0,-0.08031340824788576,0.9967696606817487
30_21,19.3815,16.337,1.6702,0.0,0.0,-0.11807391082485859,0.993004809445817
30_22,20.3168,15.8619,1.7491,0.0,0.0,-0.15907139481727903,0.9872670820760132
30_23,21.2221,15.2725,1.8146,0.0,0.0,-0.2013637592691386,0.9795165319957598
30_24,22.0224,14.652,1.9175,0.0,0.0,-0.24420520695283995,0.969723577571011
